sample	file	group	time	time_h	t_eff_h	temp	batch	is_qc	number_id	replicate
CK25_T2h_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250044959-1A.mzXML	control_25_T2h	2h	2.0	2.0	25	b1	FALSE	250044959	R1
CK25_T2h_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250044960-2A.mzXML	control_25_T2h	2h	2.0	2.0	25	b1	FALSE	250044960	R2
CK25_T2h_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250044961-2A.mzXML	control_25_T2h	2h	2.0	2.0	25	b1	FALSE	250044961	R3
CK25_T2h_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250044962-2A.mzXML	control_25_T2h	2h	2.0	2.0	25	b1	FALSE	250044962	R4
CK25_T2h_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250044963-2A.mzXML	control_25_T2h	2h	2.0	2.0	25	b1	FALSE	250044963	R5
LT10_T2h_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250044964-2A.mzXML	stress_10_T2h	2h	2.0	2.0	10	b1	FALSE	250044964	R1
LT10_T2h_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250044965-2A.mzXML	stress_10_T2h	2h	2.0	2.0	10	b1	FALSE	250044965	R2
LT10_T2h_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250044966-1A.mzXML	stress_10_T2h	2h	2.0	2.0	10	b1	FALSE	250044966	R3
LT10_T2h_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250044967-1A.mzXML	stress_10_T2h	2h	2.0	2.0	10	b1	FALSE	250044967	R4
LT10_T2h_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C2_FZTM250044968-1A.mzXML	stress_10_T2h	2h	2.0	2.0	10	b1	FALSE	250044968	R5
