phase	physiological_state	cluster_id
control_25_T10d	multi_omics_k13_nf11_cluster11	11
control_25_T14d	multi_omics_k13_nf11_cluster08	8
control_25_T1d	multi_omics_k13_nf11_cluster09	9
control_25_T2h	multi_omics_k13_nf11_cluster09	9
control_25_T3d	multi_omics_k13_nf11_cluster02	2
control_25_T7d	multi_omics_k13_nf11_cluster02	2
control_25_T8d	multi_omics_k13_nf11_cluster02	2
recovery_from_10_T1d	multi_omics_k13_nf11_cluster05	5
recovery_from_10_T3d	multi_omics_k13_nf11_cluster05	5
recovery_from_10_T6h	multi_omics_k13_nf11_cluster13	13
recovery_from_10_T7d	multi_omics_k13_nf11_cluster08	8
recovery_from_35_T1d	multi_omics_k13_nf11_cluster06	6
recovery_from_35_T3d	multi_omics_k13_nf11_cluster03	3
recovery_from_35_T6h	multi_omics_k13_nf11_cluster04	4
recovery_from_35_T7d	multi_omics_k13_nf11_cluster08	8
stress_10_T1d	multi_omics_k13_nf11_cluster07	7
stress_10_T2h	multi_omics_k13_nf11_cluster01	1
stress_10_T3d	multi_omics_k13_nf11_cluster12	12
stress_10_T7d	multi_omics_k13_nf11_cluster12	12
stress_35_T1d	multi_omics_k13_nf11_cluster10	10
stress_35_T2h	multi_omics_k13_nf11_cluster10	10
stress_35_T3d	multi_omics_k13_nf11_cluster10	10
stress_35_T7d	multi_omics_k13_nf11_cluster03	3
