sample	phase	group	time	time_h	t_eff_h	temp	replicate	region	batch	rin
CK25_T10d_R1	control_25_T10d	control_25_T10d	10d	240.0	240.0	25	R1	A	b1	nan
CK25_T10d_R2	control_25_T10d	control_25_T10d	10d	240.0	240.0	25	R2	A	b1	nan
CK25_T10d_R3	control_25_T10d	control_25_T10d	10d	240.0	240.0	25	R3	A	b1	nan
CK25_T10d_R4	control_25_T10d	control_25_T10d	10d	240.0	240.0	25	R4	A	b1	nan
CK25_T10d_R5	control_25_T10d	control_25_T10d	10d	240.0	240.0	25	R5	A	b1	nan
CK25_T14d_R1	control_25_T14d	control_25_T14d	14d	336.0	336.0	25	R1	A	b1	nan
CK25_T14d_R2	control_25_T14d	control_25_T14d	14d	336.0	336.0	25	R2	A	b1	nan
CK25_T14d_R3	control_25_T14d	control_25_T14d	14d	336.0	336.0	25	R3	A	b1	nan
CK25_T14d_R4	control_25_T14d	control_25_T14d	14d	336.0	336.0	25	R4	A	b1	nan
CK25_T14d_R5	control_25_T14d	control_25_T14d	14d	336.0	336.0	25	R5	A	b1	nan
CK25_T1d_R1	control_25_T1d	control_25_T1d	1d	24.0	24.0	25	R1	A	b1	nan
CK25_T1d_R2	control_25_T1d	control_25_T1d	1d	24.0	24.0	25	R2	A	b1	nan
CK25_T1d_R3	control_25_T1d	control_25_T1d	1d	24.0	24.0	25	R3	A	b1	nan
CK25_T1d_R4	control_25_T1d	control_25_T1d	1d	24.0	24.0	25	R4	A	b1	nan
CK25_T1d_R5	control_25_T1d	control_25_T1d	1d	24.0	24.0	25	R5	A	b1	nan
CK25_T2h_R1	control_25_T2h	control_25_T2h	2h	2.0	2.0	25	R1	A	b1	nan
CK25_T2h_R2	control_25_T2h	control_25_T2h	2h	2.0	2.0	25	R2	A	b1	nan
CK25_T2h_R3	control_25_T2h	control_25_T2h	2h	2.0	2.0	25	R3	A	b1	nan
CK25_T2h_R4	control_25_T2h	control_25_T2h	2h	2.0	2.0	25	R4	A	b1	nan
CK25_T2h_R5	control_25_T2h	control_25_T2h	2h	2.0	2.0	25	R5	A	b1	nan
CK25_T3d_R1	control_25_T3d	control_25_T3d	3d	72.0	72.0	25	R1	A	b1	nan
CK25_T3d_R2	control_25_T3d	control_25_T3d	3d	72.0	72.0	25	R2	A	b1	nan
CK25_T3d_R3	control_25_T3d	control_25_T3d	3d	72.0	72.0	25	R3	A	b1	nan
CK25_T3d_R4	control_25_T3d	control_25_T3d	3d	72.0	72.0	25	R4	A	b1	nan
