sample_id,group_dir,sample_dir,capture_dir,sample_hdr,white_hdr,dark_hdr,temp,time,time_h,phase,phase_core,replicate
CK25_T10d_10_2025-05-02_06-08-08,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_10_2025-05-02_06-08-08,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_10_2025-05-02_06-08-08/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_10_2025-05-02_06-08-08/capture/CK25_T10d_10_2025-05-02_06-08-08.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_10_2025-05-02_06-08-08/capture/WHITEREF_CK25_T10d_10_2025-05-02_06-08-08.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_10_2025-05-02_06-08-08/capture/DARKREF_CK25_T10d_10_2025-05-02_06-08-08.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_11_2025-05-02_06-09-31,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_11_2025-05-02_06-09-31,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_11_2025-05-02_06-09-31/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_11_2025-05-02_06-09-31/capture/CK25_T10d_11_2025-05-02_06-09-31.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_11_2025-05-02_06-09-31/capture/WHITEREF_CK25_T10d_11_2025-05-02_06-09-31.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_11_2025-05-02_06-09-31/capture/DARKREF_CK25_T10d_11_2025-05-02_06-09-31.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_12_2025-05-02_06-10-43,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_12_2025-05-02_06-10-43,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_12_2025-05-02_06-10-43/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_12_2025-05-02_06-10-43/capture/CK25_T10d_12_2025-05-02_06-10-43.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_12_2025-05-02_06-10-43/capture/WHITEREF_CK25_T10d_12_2025-05-02_06-10-43.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_12_2025-05-02_06-10-43/capture/DARKREF_CK25_T10d_12_2025-05-02_06-10-43.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_13_2025-05-02_06-12-10,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_13_2025-05-02_06-12-10,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_13_2025-05-02_06-12-10/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_13_2025-05-02_06-12-10/capture/CK25_T10d_13_2025-05-02_06-12-10.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_13_2025-05-02_06-12-10/capture/WHITEREF_CK25_T10d_13_2025-05-02_06-12-10.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_13_2025-05-02_06-12-10/capture/DARKREF_CK25_T10d_13_2025-05-02_06-12-10.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_14_2025-05-02_06-13-31,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_14_2025-05-02_06-13-31,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_14_2025-05-02_06-13-31/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_14_2025-05-02_06-13-31/capture/CK25_T10d_14_2025-05-02_06-13-31.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_14_2025-05-02_06-13-31/capture/WHITEREF_CK25_T10d_14_2025-05-02_06-13-31.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_14_2025-05-02_06-13-31/capture/DARKREF_CK25_T10d_14_2025-05-02_06-13-31.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_15_2025-05-02_06-14-40,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_15_2025-05-02_06-14-40,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_15_2025-05-02_06-14-40/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_15_2025-05-02_06-14-40/capture/CK25_T10d_15_2025-05-02_06-14-40.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_15_2025-05-02_06-14-40/capture/WHITEREF_CK25_T10d_15_2025-05-02_06-14-40.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_15_2025-05-02_06-14-40/capture/DARKREF_CK25_T10d_15_2025-05-02_06-14-40.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_16_2025-05-02_06-15-48,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_16_2025-05-02_06-15-48,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_16_2025-05-02_06-15-48/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_16_2025-05-02_06-15-48/capture/CK25_T10d_16_2025-05-02_06-15-48.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_16_2025-05-02_06-15-48/capture/WHITEREF_CK25_T10d_16_2025-05-02_06-15-48.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_16_2025-05-02_06-15-48/capture/DARKREF_CK25_T10d_16_2025-05-02_06-15-48.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_17_2025-05-02_06-17-02,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_17_2025-05-02_06-17-02,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_17_2025-05-02_06-17-02/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_17_2025-05-02_06-17-02/capture/CK25_T10d_17_2025-05-02_06-17-02.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_17_2025-05-02_06-17-02/capture/WHITEREF_CK25_T10d_17_2025-05-02_06-17-02.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_17_2025-05-02_06-17-02/capture/DARKREF_CK25_T10d_17_2025-05-02_06-17-02.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_18_2025-05-02_06-18-32,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_18_2025-05-02_06-18-32,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_18_2025-05-02_06-18-32/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_18_2025-05-02_06-18-32/capture/CK25_T10d_18_2025-05-02_06-18-32.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_18_2025-05-02_06-18-32/capture/WHITEREF_CK25_T10d_18_2025-05-02_06-18-32.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_18_2025-05-02_06-18-32/capture/DARKREF_CK25_T10d_18_2025-05-02_06-18-32.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_19_2025-05-02_06-19-39,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_19_2025-05-02_06-19-39,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_19_2025-05-02_06-19-39/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_19_2025-05-02_06-19-39/capture/CK25_T10d_19_2025-05-02_06-19-39.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_19_2025-05-02_06-19-39/capture/WHITEREF_CK25_T10d_19_2025-05-02_06-19-39.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_19_2025-05-02_06-19-39/capture/DARKREF_CK25_T10d_19_2025-05-02_06-19-39.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_1_2025-05-02_05-56-50,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_1_2025-05-02_05-56-50,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_1_2025-05-02_05-56-50/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_1_2025-05-02_05-56-50/capture/CK25_T10d_1_2025-05-02_05-56-50.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_1_2025-05-02_05-56-50/capture/WHITEREF_CK25_T10d_1_2025-05-02_05-56-50.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_1_2025-05-02_05-56-50/capture/DARKREF_CK25_T10d_1_2025-05-02_05-56-50.hdr,25,10d,240.0,control_25_T10d,control_25,
CK25_T10d_20_2025-05-02_06-21-02,CK25_T10d,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_20_2025-05-02_06-21-02,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_20_2025-05-02_06-21-02/capture,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_20_2025-05-02_06-21-02/capture/CK25_T10d_20_2025-05-02_06-21-02.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_20_2025-05-02_06-21-02/capture/WHITEREF_CK25_T10d_20_2025-05-02_06-21-02.hdr,/public/agis/wanfanghao_group/zoujianghua/ggpdata/CK25_T10d/CK25_T10d_20_2025-05-02_06-21-02/capture/DARKREF_CK25_T10d_20_2025-05-02_06-21-02.hdr,25,10d,240.0,control_25_T10d,control_25,
