sample_id,assay,region,group,temperature,phase,time,replicate,batch,rin,fastq1,fastq2
CK25_T10d_R1,RNAseq,A,CK25,25,stress,10d,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R1_2.fq.gz
CK25_T10d_R2,RNAseq,A,CK25,25,stress,10d,2,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R2_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R2_2.fq.gz
CK25_T10d_R3,RNAseq,A,CK25,25,stress,10d,3,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R3_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R3_2.fq.gz
CK25_T10d_R4,RNAseq,A,CK25,25,stress,10d,4,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R4_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R4_2.fq.gz
CK25_T10d_R5,RNAseq,A,CK25,25,stress,10d,5,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R5_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T10d_R5_2.fq.gz
CK25_T14d_R1,RNAseq,A,CK25,25,stress,14d,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R1_2.fq.gz
CK25_T14d_R2,RNAseq,A,CK25,25,stress,14d,2,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R2_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R2_2.fq.gz
CK25_T14d_R3,RNAseq,A,CK25,25,stress,14d,3,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R3_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R3_2.fq.gz
CK25_T14d_R4,RNAseq,A,CK25,25,stress,14d,4,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R4_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R4_2.fq.gz
CK25_T14d_R5,RNAseq,A,CK25,25,stress,14d,5,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R5_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T14d_R5_2.fq.gz
CK25_T1d_R1,RNAseq,A,CK25,25,stress,1d,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R1_2.fq.gz
CK25_T1d_R2,RNAseq,A,CK25,25,stress,1d,2,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R2_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R2_2.fq.gz
CK25_T1d_R3,RNAseq,A,CK25,25,stress,1d,3,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R3_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R3_2.fq.gz
CK25_T1d_R4,RNAseq,A,CK25,25,stress,1d,4,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R4_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R4_2.fq.gz
CK25_T1d_R5,RNAseq,A,CK25,25,stress,1d,5,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R5_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T1d_R5_2.fq.gz
CK25_T2h_R1,RNAseq,A,CK25,25,stress,2h,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R1_2.fq.gz
CK25_T2h_R2,RNAseq,A,CK25,25,stress,2h,2,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R2_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R2_2.fq.gz
CK25_T2h_R3,RNAseq,A,CK25,25,stress,2h,3,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R3_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R3_2.fq.gz
CK25_T2h_R4,RNAseq,A,CK25,25,stress,2h,4,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R4_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R4_2.fq.gz
CK25_T2h_R5,RNAseq,A,CK25,25,stress,2h,5,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R5_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/CK25_T2h_R5_2.fq.gz
