sample_id,big_region,sub_region,fastq1,fastq2
population2_HD01,population2,HD01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD01/DP8450001406BR_L01_449_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD01/DP8450001406BR_L01_449_2.fq.gz
population2_HD02,population2,HD02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD02/DP8450001406BR_L01_451_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD02/DP8450001406BR_L01_451_2.fq.gz
population2_HD03,population2,HD03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD03/DP8450001406BR_L01_452_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD03/DP8450001406BR_L01_452_2.fq.gz
population2_HD04,population2,HD04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD04/DP8450001406BR_L01_453_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD04/DP8450001406BR_L01_453_2.fq.gz
population2_HD05,population2,HD05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD05/DP8450001406BR_L01_455_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD05/DP8450001406BR_L01_455_2.fq.gz
population2_HD06,population2,HD06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD06/DP8450001406BR_L01_456_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HD06/DP8450001406BR_L01_456_2.fq.gz
population2_HY01,population2,HY01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY01/DP8450001406BR_L01_305_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY01/DP8450001406BR_L01_305_2.fq.gz
population2_HY02,population2,HY02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY02/DP8400029942TR_L01_212_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY02/DP8400029942TR_L01_212_2.fq.gz
population2_HY03,population2,HY03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY03/DP8450001406BR_L01_306_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY03/DP8450001406BR_L01_306_2.fq.gz
population2_HY04,population2,HY04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY04/DP8450001406BR_L01_307_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY04/DP8450001406BR_L01_307_2.fq.gz
population2_HY05,population2,HY05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY05/DP8450001406BR_L01_308_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY05/DP8450001406BR_L01_308_2.fq.gz
population2_HY06,population2,HY06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY06/DP8450001406BR_L01_309_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY06/DP8450001406BR_L01_309_2.fq.gz
population2_HY07,population2,HY07,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY07/DP8450001406BR_L01_310_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/HY07/DP8450001406BR_L01_310_2.fq.gz
